"trial","sample","cell","time_in_ms","recording_name","hemi","genotype","sex","age","region"
94,8687,1,868.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,11320,1,1132,"20080930002","LH","CBA/J","M","P30:60","ACx"
94,13680,1,1368,"20080930002","LH","CBA/J","M","P30:60","ACx"
96,879,1,87.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
96,1605,1,160.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
97,397,1,39.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
97,3106,1,310.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
98,9771,1,977.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
98,10918,1,1091.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,227,1,22.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,1269,1,126.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,3291,1,329.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,4482,1,448.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,7095,1,709.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,7981,1,798.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,10836,1,1083.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
99,13943,1,1394.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
100,1185,1,118.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
100,5332,1,533.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
100,6439,1,643.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
101,1531,1,153.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
101,4865,1,486.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
101,9011,1,901.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
101,10449,1,1044.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
102,1647,1,164.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
102,2405,1,240.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
102,5329,1,532.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
102,6706,1,670.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
103,1095,1,109.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
104,1771,1,177.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
104,2883,1,288.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
104,3850,1,385,"20080930002","LH","CBA/J","M","P30:60","ACx"
104,8795,1,879.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
104,10000,1,1000,"20080930002","LH","CBA/J","M","P30:60","ACx"
105,613,1,61.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
105,9560,1,956,"20080930002","LH","CBA/J","M","P30:60","ACx"
105,14222,1,1422.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
106,10203,1,1020.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
106,12692,1,1269.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
106,13389,1,1338.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
106,14202,1,1420.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
106,15169,1,1516.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
108,2008,1,200.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
108,3197,1,319.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
108,7273,1,727.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
108,8356,1,835.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
108,12812,1,1281.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
110,11201,1,1120.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
110,12204,1,1220.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
110,14571,1,1457.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
110,15378,1,1537.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
111,414,1,41.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
111,14525,1,1452.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
111,15265,1,1526.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
112,151,1,15.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
112,3489,1,348.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
112,4299,1,429.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
112,9016,1,901.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
112,10239,1,1023.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
113,13763,1,1376.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
113,14581,1,1458.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,2185,1,218.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,2859,1,285.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,6459,1,645.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,7393,1,739.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,8506,1,850.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,10227,1,1022.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
114,15014,1,1501.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
115,7754,1,775.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
115,11389,1,1138.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
115,12292,1,1229.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
115,14292,1,1429.2,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,4196,1,419.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,6527,1,652.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,8248,1,824.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,9275,1,927.5,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,10134,1,1013.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,11628,1,1162.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,12984,1,1298.4,"20080930002","LH","CBA/J","M","P30:60","ACx"
116,15066,1,1506.6,"20080930002","LH","CBA/J","M","P30:60","ACx"
117,2607,1,260.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
118,879,1,87.9,"20080930002","LH","CBA/J","M","P30:60","ACx"
118,2123,1,212.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
118,7638,1,763.8,"20080930002","LH","CBA/J","M","P30:60","ACx"
118,9261,1,926.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
118,10481,1,1048.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,1851,1,185.1,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,8307,1,830.7,"20080930002","LH","CBA/J","M","P30:60","ACx"
119,11163,1,1116.3,"20080930002","LH","CBA/J","M","P30:60","ACx"
